date,zone,category,priority,units_engaged
2025-08-18,Гамма,Наземний контакт,Низький,27
2025-08-21,Альфа,Втрата постачання,Високий,7
2025-08-12,Гамма,Радіоелектронна боротьба,Критичний,6
2025-08-18,Гамма,Техногенна аварія,Критичний,29
2025-08-26,Дельта,Повітряна загроза,Критичний,10
2025-08-24,Гамма,Радіоелектронна боротьба,Низький,22
2025-08-22,Бета,Радіоелектронна боротьба,Середній,30
2025-08-14,Гамма,Наземний контакт,Високий,35
2025-08-03,Альфа,Повітряна загроза,Високий,10
2025-08-18,Гамма,Техногенна аварія,Низький,13
2025-08-25,Альфа,Втрата постачання,Низький,38
2025-08-12,Гамма,Повітряна загроза,Критичний,17
2025-08-12,Бета,Втрата постачання,Високий,40
2025-08-19,Гамма,Радіоелектронна боротьба,Критичний,20
2025-08-21,Гамма,Техногенна аварія,Середній,11
2025-08-30,Альфа,Наземний контакт,Критичний,35
2025-08-07,Гамма,Техногенна аварія,Високий,35
2025-08-14,Гамма,Радіоелектронна боротьба,Високий,30
2025-08-26,Омега,Техногенна аварія,Низький,8
2025-08-17,Дельта,Наземний контакт,Середній,35
2025-08-01,Бета,Повітряна загроза,Низький,20
2025-08-11,Альфа,Втрата постачання,Високий,19
2025-08-24,Бета,Наземний контакт,Низький,29
2025-08-22,Бета,Повітряна загроза,Критичний,35
2025-08-04,Омега,Повітряна загроза,Високий,2
2025-08-06,Бета,Наземний контакт,Низький,24
2025-08-22,Альфа,Радіоелектронна боротьба,Критичний,12
2025-08-20,Дельта,Повітряна загроза,Середній,20
2025-08-26,Дельта,Радіоелектронна боротьба,Високий,4
2025-08-20,Альфа,Наземний контакт,Високий,31
2025-08-19,Дельта,Втрата постачання,Низький,8
2025-08-03,Гамма,Втрата постачання,Середній,38
2025-08-05,Дельта,Втрата постачання,Низький,39
2025-08-29,Бета,Техногенна аварія,Високий,27
2025-08-01,Альфа,Втрата постачання,Високий,35
2025-08-09,Альфа,Наземний контакт,Високий,9
2025-08-15,Дельта,Наземний контакт,Критичний,8
2025-08-27,Альфа,Радіоелектронна боротьба,Критичний,4
2025-08-13,Гамма,Повітряна загроза,Високий,38
2025-08-08,Гамма,Радіоелектронна боротьба,Високий,15
2025-08-07,Дельта,Втрата постачання,Середній,22
2025-08-28,Гамма,Наземний контакт,Низький,9
2025-08-16,Альфа,Наземний контакт,Низький,38
2025-08-20,Бета,Повітряна загроза,Високий,14
2025-08-08,Бета,Повітряна загроза,Високий,11
2025-08-22,Дельта,Повітряна загроза,Низький,3
2025-08-19,Гамма,Втрата постачання,Середній,37
2025-08-24,Бета,Повітряна загроза,Високий,35
2025-08-22,Дельта,Радіоелектронна боротьба,Низький,17
2025-08-11,Гамма,Повітряна загроза,Середній,12
2025-08-23,Гамма,Втрата постачання,Високий,2
2025-08-03,Бета,Втрата постачання,Високий,23
2025-08-20,Альфа,Втрата постачання,Середній,32
2025-08-05,Бета,Техногенна аварія,Критичний,31
2025-08-09,Дельта,Повітряна загроза,Низький,25
2025-08-18,Гамма,Наземний контакт,Критичний,24
2025-08-07,Гамма,Втрата постачання,Критичний,22
2025-08-06,Гамма,Наземний контакт,Середній,31
2025-08-16,Гамма,Втрата постачання,Високий,5
2025-08-28,Бета,Втрата постачання,Середній,4
2025-08-05,Гамма,Техногенна аварія,Середній,35
2025-08-09,Гамма,Радіоелектронна боротьба,Середній,39
2025-08-05,Бета,Наземний контакт,Високий,33
2025-08-25,Дельта,Наземний контакт,Критичний,18
2025-08-24,Дельта,Радіоелектронна боротьба,Високий,32
2025-08-11,Омега,Повітряна загроза,Критичний,21
2025-08-02,Гамма,Радіоелектронна боротьба,Низький,26
2025-08-21,Бета,Повітряна загроза,Критичний,8
2025-08-12,Бета,Радіоелектронна боротьба,Критичний,26
2025-08-25,Омега,Втрата постачання,Критичний,24
2025-08-03,Бета,Втрата постачання,Критичний,25
2025-08-18,Бета,Повітряна загроза,Низький,3
2025-08-07,Бета,Наземний контакт,Критичний,3
2025-08-27,Гамма,Повітряна загроза,Критичний,5
2025-08-25,Бета,Техногенна аварія,Критичний,39
2025-08-02,Бета,Повітряна загроза,Низький,26
2025-08-09,Гамма,Повітряна загроза,Низький,40
2025-08-04,Омега,Радіоелектронна боротьба,Критичний,3
2025-08-01,Дельта,Повітряна загроза,Середній,24
2025-08-06,Альфа,Повітряна загроза,Критичний,34
2025-08-26,Дельта,Техногенна аварія,Середній,36
2025-08-12,Гамма,Повітряна загроза,Низький,2
2025-08-29,Дельта,Радіоелектронна боротьба,Середній,9
2025-08-27,Дельта,Повітряна загроза,Критичний,38
2025-08-30,Гамма,Наземний контакт,Низький,38
2025-08-01,Бета,Техногенна аварія,Високий,3
2025-08-07,Омега,Повітряна загроза,Критичний,34
2025-08-17,Бета,Техногенна аварія,Критичний,24
2025-08-04,Гамма,Техногенна аварія,Низький,32
2025-08-22,Бета,Втрата постачання,Низький,2
2025-08-18,Гамма,Втрата постачання,Низький,13
2025-08-13,Гамма,Повітряна загроза,Високий,8
2025-08-23,Дельта,Наземний контакт,Низький,15
2025-08-16,Гамма,Наземний контакт,Високий,3
2025-08-23,Гамма,Втрата постачання,Критичний,37
2025-08-22,Омега,Наземний контакт,Високий,31
2025-08-13,Дельта,Техногенна аварія,Середній,3
2025-08-12,Гамма,Радіоелектронна боротьба,Низький,4
2025-08-03,Альфа,Наземний контакт,Високий,40
2025-08-07,Бета,Наземний контакт,Критичний,26
2025-08-05,Бета,Повітряна загроза,Середній,10
2025-08-13,Дельта,Повітряна загроза,Низький,15
2025-08-29,Альфа,Наземний контакт,Критичний,31
2025-08-28,Гамма,Наземний контакт,Високий,7
2025-08-28,Бета,Наземний контакт,Критичний,31
2025-08-05,Бета,Повітряна загроза,Високий,23
2025-08-12,Альфа,Наземний контакт,Низький,30
2025-08-06,Гамма,Техногенна аварія,Середній,36
2025-08-21,Гамма,Радіоелектронна боротьба,Високий,8
2025-08-27,Бета,Наземний контакт,Критичний,34
2025-08-03,Омега,Наземний контакт,Середній,14
2025-08-02,Альфа,Повітряна загроза,Середній,14
2025-08-25,Бета,Повітряна загроза,Середній,28
2025-08-07,Дельта,Наземний контакт,Низький,15
2025-08-17,Омега,Радіоелектронна боротьба,Високий,11
2025-08-27,Гамма,Втрата постачання,Критичний,24
2025-08-03,Омега,Повітряна загроза,Критичний,31
2025-08-15,Бета,Повітряна загроза,Високий,22
2025-08-03,Гамма,Техногенна аварія,Високий,21
2025-08-28,Гамма,Радіоелектронна боротьба,Високий,6
2025-08-25,Дельта,Втрата постачання,Критичний,2
2025-08-18,Гамма,Наземний контакт,Середній,23
2025-08-04,Омега,Повітряна загроза,Середній,39
