date,zone,category,priority,units_engaged
2025-08-16,Альфа,Наземний контакт,Високий,8
2025-08-05,Бета,Радіоелектронна боротьба,Високий,24
2025-08-03,Дельта,Наземний контакт,Високий,21
2025-08-26,Бета,Наземний контакт,Низький,17
2025-08-28,Омега,Радіоелектронна боротьба,Середній,25
2025-08-09,Альфа,Втрата постачання,Середній,16
2025-08-05,Дельта,Повітряна загроза,Критичний,37
2025-08-06,Гамма,Наземний контакт,Високий,38
2025-08-09,Гамма,Наземний контакт,Критичний,30
2025-08-03,Дельта,Повітряна загроза,Середній,8
2025-08-04,Гамма,Радіоелектронна боротьба,Критичний,40
2025-08-07,Гамма,Наземний контакт,Середній,19
2025-08-07,Альфа,Радіоелектронна боротьба,Низький,28
2025-08-11,Альфа,Наземний контакт,Високий,25
2025-08-25,Альфа,Наземний контакт,Середній,17
2025-08-15,Гамма,Наземний контакт,Середній,9
2025-08-30,Альфа,Техногенна аварія,Високий,21
2025-08-26,Альфа,Повітряна загроза,Низький,36
2025-08-26,Гамма,Повітряна загроза,Високий,32
2025-08-29,Гамма,Повітряна загроза,Високий,11
2025-08-09,Гамма,Радіоелектронна боротьба,Високий,24
2025-08-21,Бета,Повітряна загроза,Високий,38
2025-08-26,Гамма,Радіоелектронна боротьба,Низький,4
2025-08-11,Альфа,Повітряна загроза,Високий,2
2025-08-10,Альфа,Техногенна аварія,Критичний,5
2025-08-26,Гамма,Наземний контакт,Середній,7
2025-08-05,Бета,Техногенна аварія,Критичний,37
2025-08-02,Дельта,Повітряна загроза,Низький,28
2025-08-25,Гамма,Втрата постачання,Середній,11
2025-08-22,Дельта,Повітряна загроза,Середній,34
2025-08-11,Дельта,Радіоелектронна боротьба,Низький,34
2025-08-21,Бета,Повітряна загроза,Середній,12
2025-08-21,Альфа,Наземний контакт,Середній,35
2025-08-23,Гамма,Наземний контакт,Середній,5
2025-08-03,Гамма,Повітряна загроза,Середній,24
2025-08-03,Бета,Повітряна загроза,Середній,33
2025-08-23,Альфа,Наземний контакт,Високий,21
2025-08-15,Гамма,Наземний контакт,Низький,11
2025-08-21,Альфа,Радіоелектронна боротьба,Високий,22
2025-08-24,Альфа,Втрата постачання,Критичний,15
2025-08-07,Бета,Техногенна аварія,Низький,39
2025-08-13,Гамма,Повітряна загроза,Критичний,32
2025-08-10,Гамма,Повітряна загроза,Середній,18
2025-08-17,Гамма,Повітряна загроза,Середній,21
2025-08-07,Гамма,Втрата постачання,Високий,17
2025-08-03,Бета,Наземний контакт,Критичний,34
2025-08-23,Альфа,Наземний контакт,Критичний,28
2025-08-25,Бета,Повітряна загроза,Критичний,17
2025-08-28,Альфа,Наземний контакт,Середній,22
2025-08-28,Альфа,Техногенна аварія,Середній,15
2025-08-12,Гамма,Наземний контакт,Високий,27
2025-08-06,Омега,Повітряна загроза,Високий,15
2025-08-20,Альфа,Наземний контакт,Низький,39
2025-08-03,Гамма,Радіоелектронна боротьба,Високий,38
2025-08-21,Бета,Повітряна загроза,Середній,33
2025-08-26,Бета,Втрата постачання,Критичний,22
2025-08-13,Бета,Техногенна аварія,Низький,18
2025-08-23,Альфа,Наземний контакт,Високий,36
2025-08-20,Гамма,Радіоелектронна боротьба,Низький,21
2025-08-11,Альфа,Техногенна аварія,Низький,32
2025-08-26,Бета,Втрата постачання,Критичний,3
2025-08-24,Бета,Втрата постачання,Середній,29
2025-08-04,Бета,Наземний контакт,Критичний,22
2025-08-07,Омега,Наземний контакт,Середній,36
2025-08-17,Альфа,Наземний контакт,Критичний,22
2025-08-25,Альфа,Радіоелектронна боротьба,Критичний,17
2025-08-18,Гамма,Втрата постачання,Середній,19
2025-08-13,Гамма,Радіоелектронна боротьба,Критичний,25
2025-08-20,Дельта,Повітряна загроза,Високий,39
2025-08-10,Дельта,Втрата постачання,Середній,34
2025-08-24,Бета,Радіоелектронна боротьба,Високий,17
2025-08-18,Дельта,Втрата постачання,Низький,36
2025-08-10,Дельта,Радіоелектронна боротьба,Критичний,6
2025-08-08,Омега,Повітряна загроза,Високий,13
2025-08-16,Дельта,Повітряна загроза,Середній,3
2025-08-10,Омега,Радіоелектронна боротьба,Високий,32
2025-08-09,Бета,Втрата постачання,Низький,22
2025-08-15,Дельта,Повітряна загроза,Високий,25
2025-08-27,Гамма,Радіоелектронна боротьба,Середній,11
2025-08-19,Бета,Радіоелектронна боротьба,Низький,20
2025-08-19,Дельта,Повітряна загроза,Високий,28
2025-08-29,Альфа,Повітряна загроза,Високий,14
2025-08-01,Дельта,Наземний контакт,Низький,22
2025-08-12,Гамма,Повітряна загроза,Високий,17
2025-08-09,Бета,Радіоелектронна боротьба,Критичний,23
2025-08-21,Бета,Наземний контакт,Низький,15
2025-08-02,Бета,Повітряна загроза,Високий,11
2025-08-16,Гамма,Наземний контакт,Середній,38
2025-08-16,Дельта,Повітряна загроза,Низький,22
2025-08-27,Бета,Повітряна загроза,Високий,18
2025-08-29,Дельта,Радіоелектронна боротьба,Високий,3
2025-08-15,Альфа,Повітряна загроза,Низький,11
2025-08-28,Гамма,Втрата постачання,Високий,4
2025-08-03,Омега,Втрата постачання,Високий,37
2025-08-01,Гамма,Техногенна аварія,Середній,10
2025-08-16,Альфа,Втрата постачання,Критичний,2
2025-08-29,Бета,Наземний контакт,Критичний,39
2025-08-26,Гамма,Наземний контакт,Низький,40
2025-08-17,Дельта,Наземний контакт,Високий,33
2025-08-17,Бета,Радіоелектронна боротьба,Критичний,28
2025-08-22,Дельта,Повітряна загроза,Критичний,6
2025-08-14,Альфа,Повітряна загроза,Критичний,26
2025-08-06,Бета,Втрата постачання,Середній,37
2025-08-19,Альфа,Техногенна аварія,Середній,29
2025-08-19,Бета,Наземний контакт,Високий,26
2025-08-03,Омега,Повітряна загроза,Високий,11
2025-08-29,Альфа,Втрата постачання,Високий,8
2025-08-12,Бета,Втрата постачання,Критичний,4
2025-08-03,Бета,Наземний контакт,Критичний,12
2025-08-24,Бета,Радіоелектронна боротьба,Середній,36
2025-08-20,Дельта,Повітряна загроза,Високий,5
2025-08-27,Дельта,Наземний контакт,Високий,37
2025-08-20,Гамма,Наземний контакт,Критичний,31
2025-08-02,Бета,Радіоелектронна боротьба,Високий,22
2025-08-22,Гамма,Наземний контакт,Критичний,22
2025-08-10,Дельта,Радіоелектронна боротьба,Високий,2
2025-08-10,Бета,Техногенна аварія,Критичний,28
2025-08-13,Омега,Техногенна аварія,Низький,3
2025-08-18,Дельта,Наземний контакт,Середній,5
2025-08-06,Омега,Втрата постачання,Середній,40
2025-08-11,Гамма,Наземний контакт,Середній,32
2025-08-18,Гамма,Наземний контакт,Критичний,16
2025-08-13,Омега,Наземний контакт,Низький,30
2025-08-22,Бета,Наземний контакт,Високий,8
