date,zone,category,priority,units_engaged
2025-08-10,Омега,Радіоелектронна боротьба,Середній,36
2025-08-16,Дельта,Наземний контакт,Високий,23
2025-08-23,Дельта,Втрата постачання,Низький,29
2025-08-09,Гамма,Наземний контакт,Критичний,2
2025-08-09,Омега,Техногенна аварія,Низький,13
2025-08-30,Гамма,Радіоелектронна боротьба,Середній,14
2025-08-09,Альфа,Повітряна загроза,Високий,34
2025-08-22,Омега,Втрата постачання,Середній,21
2025-08-07,Альфа,Наземний контакт,Середній,15
2025-08-08,Гамма,Наземний контакт,Низький,39
2025-08-29,Бета,Радіоелектронна боротьба,Високий,31
2025-08-20,Дельта,Втрата постачання,Високий,18
2025-08-18,Гамма,Втрата постачання,Критичний,35
2025-08-02,Дельта,Втрата постачання,Високий,7
2025-08-11,Дельта,Втрата постачання,Середній,24
2025-08-22,Альфа,Наземний контакт,Середній,7
2025-08-22,Бета,Наземний контакт,Середній,16
2025-08-12,Дельта,Втрата постачання,Середній,21
2025-08-27,Альфа,Втрата постачання,Критичний,38
2025-08-29,Бета,Радіоелектронна боротьба,Низький,26
2025-08-05,Бета,Втрата постачання,Середній,35
2025-08-22,Бета,Наземний контакт,Середній,23
2025-08-25,Гамма,Наземний контакт,Критичний,40
2025-08-14,Дельта,Втрата постачання,Низький,31
2025-08-29,Альфа,Втрата постачання,Середній,35
2025-08-06,Бета,Наземний контакт,Низький,34
2025-08-27,Альфа,Наземний контакт,Низький,17
2025-08-28,Бета,Втрата постачання,Середній,38
2025-08-20,Дельта,Повітряна загроза,Критичний,15
2025-08-08,Дельта,Повітряна загроза,Критичний,15
2025-08-03,Альфа,Наземний контакт,Критичний,34
2025-08-17,Гамма,Техногенна аварія,Середній,20
2025-08-25,Бета,Наземний контакт,Високий,16
2025-08-15,Альфа,Наземний контакт,Критичний,27
2025-08-24,Дельта,Втрата постачання,Низький,27
2025-08-08,Бета,Радіоелектронна боротьба,Високий,29
2025-08-12,Дельта,Радіоелектронна боротьба,Середній,37
2025-08-19,Гамма,Радіоелектронна боротьба,Високий,35
2025-08-18,Гамма,Втрата постачання,Критичний,14
2025-08-30,Альфа,Наземний контакт,Високий,10
2025-08-04,Гамма,Наземний контакт,Низький,4
2025-08-28,Гамма,Радіоелектронна боротьба,Високий,26
2025-08-01,Альфа,Повітряна загроза,Високий,25
2025-08-25,Гамма,Повітряна загроза,Середній,2
2025-08-24,Омега,Повітряна загроза,Низький,13
2025-08-30,Альфа,Втрата постачання,Середній,21
2025-08-07,Гамма,Техногенна аварія,Низький,18
2025-08-12,Омега,Повітряна загроза,Високий,2
2025-08-21,Гамма,Втрата постачання,Низький,21
2025-08-08,Альфа,Втрата постачання,Низький,11
2025-08-20,Омега,Втрата постачання,Низький,15
2025-08-07,Дельта,Техногенна аварія,Високий,11
2025-08-20,Гамма,Втрата постачання,Критичний,14
2025-08-14,Альфа,Повітряна загроза,Високий,13
2025-08-19,Альфа,Повітряна загроза,Високий,38
2025-08-30,Дельта,Втрата постачання,Середній,18
2025-08-16,Альфа,Повітряна загроза,Високий,37
2025-08-18,Бета,Втрата постачання,Середній,5
2025-08-23,Гамма,Радіоелектронна боротьба,Високий,19
2025-08-17,Бета,Втрата постачання,Середній,15
2025-08-11,Дельта,Повітряна загроза,Високий,18
2025-08-26,Гамма,Наземний контакт,Критичний,9
2025-08-26,Дельта,Радіоелектронна боротьба,Високий,40
