date,zone,category,priority,units_engaged
2025-08-26,Дельта,Повітряна загроза,Високий,36
2025-08-22,Бета,Наземний контакт,Низький,39
2025-08-19,Гамма,Повітряна загроза,Низький,8
2025-08-18,Гамма,Повітряна загроза,Середній,6
2025-08-18,Гамма,Повітряна загроза,Критичний,39
2025-08-05,Гамма,Втрата постачання,Низький,8
2025-08-19,Омега,Втрата постачання,Низький,37
2025-08-26,Дельта,Наземний контакт,Низький,21
2025-08-05,Бета,Радіоелектронна боротьба,Критичний,39
2025-08-07,Бета,Наземний контакт,Критичний,15
2025-08-05,Бета,Наземний контакт,Низький,29
2025-08-28,Альфа,Повітряна загроза,Низький,5
2025-08-08,Дельта,Радіоелектронна боротьба,Низький,35
2025-08-29,Гамма,Радіоелектронна боротьба,Низький,9
2025-08-10,Дельта,Втрата постачання,Низький,21
2025-08-09,Дельта,Повітряна загроза,Критичний,37
2025-08-02,Бета,Повітряна загроза,Високий,7
2025-08-15,Омега,Техногенна аварія,Середній,34
2025-08-12,Альфа,Наземний контакт,Високий,3
2025-08-05,Бета,Радіоелектронна боротьба,Низький,6
2025-08-25,Дельта,Повітряна загроза,Середній,25
2025-08-10,Дельта,Повітряна загроза,Високий,32
2025-08-26,Дельта,Втрата постачання,Високий,29
2025-08-10,Бета,Повітряна загроза,Високий,22
2025-08-16,Бета,Повітряна загроза,Низький,15
2025-08-02,Гамма,Втрата постачання,Критичний,40
2025-08-27,Дельта,Наземний контакт,Низький,18
2025-08-05,Гамма,Втрата постачання,Критичний,30
2025-08-21,Омега,Радіоелектронна боротьба,Високий,7
2025-08-17,Гамма,Повітряна загроза,Середній,7
2025-08-26,Гамма,Радіоелектронна боротьба,Середній,28
2025-08-18,Бета,Втрата постачання,Низький,36
2025-08-26,Бета,Повітряна загроза,Високий,10
2025-08-09,Бета,Наземний контакт,Критичний,12
2025-08-30,Альфа,Повітряна загроза,Середній,10
2025-08-05,Дельта,Радіоелектронна боротьба,Середній,14
2025-08-05,Бета,Наземний контакт,Критичний,8
2025-08-18,Дельта,Наземний контакт,Низький,25
2025-08-27,Бета,Втрата постачання,Критичний,13
2025-08-08,Омега,Повітряна загроза,Високий,25
2025-08-11,Дельта,Повітряна загроза,Високий,25
2025-08-26,Гамма,Наземний контакт,Низький,9
2025-08-24,Бета,Повітряна загроза,Критичний,25
2025-08-29,Дельта,Повітряна загроза,Низький,20
2025-08-03,Гамма,Радіоелектронна боротьба,Критичний,23
2025-08-06,Бета,Радіоелектронна боротьба,Середній,13
2025-08-17,Омега,Повітряна загроза,Середній,34
2025-08-11,Дельта,Повітряна загроза,Низький,36
2025-08-17,Гамма,Радіоелектронна боротьба,Низький,29
2025-08-17,Дельта,Втрата постачання,Низький,26
2025-08-24,Альфа,Повітряна загроза,Високий,39
2025-08-06,Дельта,Техногенна аварія,Критичний,40
2025-08-28,Гамма,Втрата постачання,Середній,26
2025-08-27,Гамма,Повітряна загроза,Високий,32
2025-08-11,Бета,Наземний контакт,Середній,30
2025-08-16,Омега,Повітряна загроза,Критичний,18
2025-08-01,Бета,Радіоелектронна боротьба,Низький,29
2025-08-06,Альфа,Втрата постачання,Високий,37
2025-08-01,Бета,Наземний контакт,Високий,22
2025-08-04,Гамма,Повітряна загроза,Середній,40
2025-08-04,Бета,Радіоелектронна боротьба,Низький,31
2025-08-18,Бета,Повітряна загроза,Низький,19
2025-08-26,Дельта,Втрата постачання,Середній,8
2025-08-17,Альфа,Наземний контакт,Критичний,39
2025-08-23,Дельта,Наземний контакт,Низький,26
2025-08-04,Бета,Наземний контакт,Низький,3
2025-08-17,Дельта,Повітряна загроза,Низький,11
2025-08-19,Омега,Повітряна загроза,Низький,38
2025-08-10,Бета,Радіоелектронна боротьба,Середній,9
2025-08-28,Дельта,Повітряна загроза,Високий,6
2025-08-08,Бета,Повітряна загроза,Низький,31
2025-08-11,Дельта,Наземний контакт,Низький,2
2025-08-09,Бета,Втрата постачання,Низький,28
2025-08-16,Бета,Повітряна загроза,Високий,13
2025-08-09,Омега,Радіоелектронна боротьба,Низький,8
2025-08-23,Бета,Наземний контакт,Низький,6
2025-08-12,Альфа,Повітряна загроза,Низький,20
2025-08-01,Бета,Втрата постачання,Низький,15
2025-08-19,Гамма,Повітряна загроза,Середній,16
2025-08-30,Бета,Наземний контакт,Низький,3
2025-08-21,Дельта,Втрата постачання,Середній,23
2025-08-17,Бета,Радіоелектронна боротьба,Критичний,18
2025-08-01,Дельта,Втрата постачання,Середній,34
2025-08-04,Альфа,Повітряна загроза,Середній,31
2025-08-13,Омега,Повітряна загроза,Низький,14
2025-08-25,Гамма,Повітряна загроза,Низький,2
2025-08-06,Альфа,Наземний контакт,Низький,28
2025-08-05,Бета,Повітряна загроза,Критичний,40
2025-08-16,Альфа,Наземний контакт,Високий,7
2025-08-15,Альфа,Наземний контакт,Критичний,29
2025-08-23,Альфа,Техногенна аварія,Низький,4
2025-08-15,Бета,Повітряна загроза,Середній,11
2025-08-03,Гамма,Втрата постачання,Критичний,39
2025-08-04,Бета,Радіоелектронна боротьба,Високий,14
2025-08-23,Альфа,Втрата постачання,Середній,16
2025-08-02,Омега,Наземний контакт,Низький,28
2025-08-21,Гамма,Наземний контакт,Критичний,7
2025-08-23,Гамма,Втрата постачання,Критичний,28
2025-08-24,Гамма,Наземний контакт,Середній,32
2025-08-05,Бета,Повітряна загроза,Високий,4
2025-08-22,Бета,Радіоелектронна боротьба,Критичний,3
2025-08-17,Омега,Повітряна загроза,Високий,15
2025-08-08,Альфа,Втрата постачання,Критичний,6
2025-08-13,Бета,Повітряна загроза,Високий,15
2025-08-05,Омега,Повітряна загроза,Критичний,28
2025-08-22,Альфа,Наземний контакт,Низький,9
2025-08-21,Гамма,Повітряна загроза,Середній,12
2025-08-14,Бета,Повітряна загроза,Середній,8
2025-08-03,Дельта,Наземний контакт,Низький,4
2025-08-18,Альфа,Техногенна аварія,Високий,20
2025-08-12,Омега,Повітряна загроза,Високий,39
2025-08-26,Бета,Втрата постачання,Середній,9
2025-08-26,Дельта,Радіоелектронна боротьба,Низький,5
2025-08-25,Гамма,Радіоелектронна боротьба,Середній,24
2025-08-12,Бета,Техногенна аварія,Низький,17
2025-08-03,Альфа,Наземний контакт,Середній,24
2025-08-08,Дельта,Радіоелектронна боротьба,Високий,20
2025-08-26,Гамма,Повітряна загроза,Критичний,37
2025-08-04,Бета,Втрата постачання,Критичний,15
2025-08-11,Гамма,Радіоелектронна боротьба,Високий,17
2025-08-29,Гамма,Техногенна аварія,Низький,11
2025-08-18,Гамма,Радіоелектронна боротьба,Середній,11
2025-08-29,Альфа,Повітряна загроза,Критичний,36
2025-08-28,Гамма,Радіоелектронна боротьба,Низький,30
2025-08-15,Гамма,Повітряна загроза,Низький,10
2025-08-08,Гамма,Повітряна загроза,Високий,21
2025-08-12,Гамма,Повітряна загроза,Критичний,19
2025-08-13,Гамма,Втрата постачання,Середній,38
2025-08-10,Гамма,Наземний контакт,Середній,25
2025-08-04,Альфа,Повітряна загроза,Середній,4
