date,zone,category,priority,units_engaged
2025-08-02,Дельта,Наземний контакт,Критичний,3
2025-08-29,Дельта,Повітряна загроза,Низький,37
2025-08-02,Гамма,Втрата постачання,Критичний,8
2025-08-04,Бета,Наземний контакт,Високий,6
2025-08-22,Бета,Втрата постачання,Високий,31
2025-08-10,Дельта,Повітряна загроза,Високий,28
2025-08-03,Омега,Радіоелектронна боротьба,Середній,37
2025-08-29,Гамма,Радіоелектронна боротьба,Середній,31
2025-08-01,Омега,Наземний контакт,Високий,29
2025-08-12,Гамма,Техногенна аварія,Критичний,13
2025-08-25,Дельта,Повітряна загроза,Критичний,38
2025-08-15,Альфа,Техногенна аварія,Критичний,30
2025-08-12,Бета,Втрата постачання,Середній,19
2025-08-08,Бета,Наземний контакт,Високий,24
2025-08-29,Альфа,Повітряна загроза,Низький,11
2025-08-09,Альфа,Повітряна загроза,Низький,33
2025-08-01,Дельта,Наземний контакт,Середній,22
2025-08-01,Дельта,Повітряна загроза,Низький,40
2025-08-18,Бета,Повітряна загроза,Середній,7
2025-08-19,Бета,Втрата постачання,Високий,20
2025-08-30,Гамма,Радіоелектронна боротьба,Критичний,32
2025-08-02,Омега,Повітряна загроза,Низький,36
2025-08-08,Бета,Втрата постачання,Низький,6
2025-08-23,Бета,Техногенна аварія,Середній,11
2025-08-08,Бета,Наземний контакт,Низький,13
2025-08-16,Альфа,Втрата постачання,Критичний,32
2025-08-28,Дельта,Повітряна загроза,Низький,6
2025-08-19,Гамма,Наземний контакт,Критичний,17
2025-08-23,Омега,Радіоелектронна боротьба,Критичний,9
2025-08-22,Бета,Техногенна аварія,Високий,9
2025-08-27,Гамма,Повітряна загроза,Низький,27
2025-08-26,Гамма,Техногенна аварія,Критичний,28
2025-08-04,Дельта,Техногенна аварія,Низький,34
2025-08-05,Бета,Втрата постачання,Середній,7
2025-08-14,Дельта,Втрата постачання,Середній,37
2025-08-30,Дельта,Втрата постачання,Середній,38
2025-08-04,Альфа,Техногенна аварія,Середній,39
2025-08-17,Альфа,Радіоелектронна боротьба,Середній,35
2025-08-08,Бета,Повітряна загроза,Середній,14
2025-08-02,Бета,Радіоелектронна боротьба,Низький,35
2025-08-21,Гамма,Повітряна загроза,Середній,32
2025-08-10,Альфа,Повітряна загроза,Високий,16
2025-08-08,Бета,Повітряна загроза,Критичний,36
2025-08-12,Дельта,Наземний контакт,Критичний,17
2025-08-13,Омега,Втрата постачання,Критичний,10
2025-08-25,Альфа,Наземний контакт,Низький,34
2025-08-10,Бета,Наземний контакт,Низький,10
2025-08-25,Дельта,Повітряна загроза,Середній,29
2025-08-04,Бета,Наземний контакт,Високий,33
2025-08-01,Гамма,Втрата постачання,Низький,27
2025-08-09,Омега,Наземний контакт,Високий,15
2025-08-01,Омега,Наземний контакт,Критичний,3
2025-08-30,Бета,Втрата постачання,Низький,9
2025-08-05,Гамма,Втрата постачання,Критичний,15
2025-08-24,Альфа,Наземний контакт,Критичний,16
2025-08-15,Альфа,Радіоелектронна боротьба,Середній,14
2025-08-30,Бета,Наземний контакт,Середній,10
2025-08-25,Бета,Радіоелектронна боротьба,Високий,19
2025-08-02,Гамма,Втрата постачання,Високий,17
2025-08-24,Бета,Наземний контакт,Низький,22
2025-08-15,Гамма,Втрата постачання,Високий,31
2025-08-12,Бета,Наземний контакт,Високий,17
2025-08-06,Бета,Втрата постачання,Середній,16
2025-08-06,Альфа,Втрата постачання,Низький,25
2025-08-15,Бета,Втрата постачання,Критичний,24
2025-08-27,Дельта,Повітряна загроза,Високий,31
2025-08-16,Гамма,Повітряна загроза,Високий,40
2025-08-05,Альфа,Радіоелектронна боротьба,Високий,29
2025-08-09,Дельта,Техногенна аварія,Високий,40
2025-08-16,Гамма,Втрата постачання,Критичний,35
2025-08-29,Альфа,Повітряна загроза,Низький,15
2025-08-24,Дельта,Повітряна загроза,Високий,40
2025-08-02,Альфа,Наземний контакт,Критичний,24
2025-08-20,Гамма,Повітряна загроза,Середній,2
2025-08-30,Альфа,Втрата постачання,Високий,21
2025-08-20,Бета,Радіоелектронна боротьба,Середній,14
2025-08-24,Бета,Повітряна загроза,Низький,25
2025-08-13,Гамма,Повітряна загроза,Низький,30
2025-08-23,Бета,Наземний контакт,Низький,27
2025-08-24,Гамма,Наземний контакт,Критичний,20
2025-08-02,Гамма,Повітряна загроза,Критичний,17
2025-08-10,Бета,Наземний контакт,Критичний,13
2025-08-18,Бета,Втрата постачання,Середній,12
2025-08-30,Гамма,Техногенна аварія,Низький,5
2025-08-10,Гамма,Радіоелектронна боротьба,Високий,33
2025-08-08,Дельта,Втрата постачання,Низький,32
2025-08-13,Бета,Повітряна загроза,Середній,38
2025-08-02,Дельта,Втрата постачання,Середній,40
2025-08-03,Омега,Повітряна загроза,Високий,3
2025-08-21,Гамма,Техногенна аварія,Середній,29
2025-08-03,Бета,Наземний контакт,Середній,28
2025-08-04,Бета,Повітряна загроза,Високий,20
2025-08-27,Бета,Втрата постачання,Середній,5
2025-08-28,Дельта,Повітряна загроза,Середній,10
2025-08-24,Альфа,Втрата постачання,Критичний,4
2025-08-03,Гамма,Техногенна аварія,Критичний,35
2025-08-01,Дельта,Втрата постачання,Низький,10
2025-08-04,Бета,Втрата постачання,Високий,14
2025-08-28,Альфа,Наземний контакт,Середній,8
2025-08-17,Альфа,Втрата постачання,Високий,30
2025-08-07,Дельта,Повітряна загроза,Середній,10
2025-08-24,Омега,Радіоелектронна боротьба,Середній,25
2025-08-15,Бета,Радіоелектронна боротьба,Високий,21
