date,zone,category,priority,units_engaged
2025-08-21,Дельта,Радіоелектронна боротьба,Середній,26
2025-08-25,Бета,Радіоелектронна боротьба,Високий,11
2025-08-12,Гамма,Наземний контакт,Низький,39
2025-08-13,Дельта,Повітряна загроза,Критичний,26
2025-08-15,Дельта,Повітряна загроза,Низький,10
2025-08-07,Дельта,Повітряна загроза,Високий,14
2025-08-03,Гамма,Радіоелектронна боротьба,Високий,35
2025-08-05,Гамма,Радіоелектронна боротьба,Високий,23
2025-08-14,Гамма,Повітряна загроза,Середній,21
2025-08-24,Бета,Наземний контакт,Високий,25
2025-08-21,Бета,Втрата постачання,Високий,12
2025-08-29,Дельта,Втрата постачання,Середній,5
2025-08-20,Бета,Радіоелектронна боротьба,Критичний,28
2025-08-02,Дельта,Радіоелектронна боротьба,Високий,20
2025-08-25,Альфа,Повітряна загроза,Середній,21
2025-08-18,Бета,Наземний контакт,Середній,35
2025-08-14,Бета,Повітряна загроза,Високий,16
2025-08-04,Дельта,Радіоелектронна боротьба,Низький,32
2025-08-15,Омега,Радіоелектронна боротьба,Високий,30
2025-08-03,Гамма,Наземний контакт,Низький,4
2025-08-24,Бета,Наземний контакт,Високий,11
2025-08-17,Бета,Техногенна аварія,Критичний,15
2025-08-17,Дельта,Повітряна загроза,Критичний,5
2025-08-11,Бета,Радіоелектронна боротьба,Критичний,6
2025-08-01,Дельта,Радіоелектронна боротьба,Високий,28
2025-08-14,Гамма,Радіоелектронна боротьба,Низький,3
2025-08-27,Альфа,Повітряна загроза,Критичний,21
2025-08-24,Бета,Повітряна загроза,Критичний,19
2025-08-22,Дельта,Втрата постачання,Низький,23
2025-08-13,Бета,Техногенна аварія,Високий,35
2025-08-11,Бета,Техногенна аварія,Середній,15
2025-08-03,Бета,Повітряна загроза,Середній,35
2025-08-17,Дельта,Наземний контакт,Середній,13
2025-08-16,Гамма,Повітряна загроза,Високий,29
2025-08-14,Дельта,Радіоелектронна боротьба,Критичний,3
2025-08-19,Дельта,Повітряна загроза,Низький,9
2025-08-03,Дельта,Техногенна аварія,Критичний,31
2025-08-04,Омега,Наземний контакт,Середній,38
2025-08-21,Бета,Наземний контакт,Критичний,40
2025-08-27,Альфа,Радіоелектронна боротьба,Критичний,5
2025-08-23,Гамма,Втрата постачання,Низький,40
2025-08-18,Дельта,Повітряна загроза,Критичний,13
2025-08-13,Омега,Техногенна аварія,Високий,7
2025-08-26,Гамма,Техногенна аварія,Середній,30
2025-08-02,Бета,Наземний контакт,Низький,11
2025-08-01,Гамма,Наземний контакт,Критичний,2
2025-08-20,Гамма,Повітряна загроза,Середній,31
