date,zone,category,priority,units_engaged
2025-08-29,Бета,Наземний контакт,Критичний,19
2025-08-20,Альфа,Наземний контакт,Високий,34
2025-08-22,Омега,Втрата постачання,Середній,26
2025-08-28,Гамма,Наземний контакт,Низький,37
2025-08-04,Омега,Втрата постачання,Середній,4
2025-08-06,Гамма,Втрата постачання,Середній,19
2025-08-15,Дельта,Радіоелектронна боротьба,Високий,3
2025-08-10,Бета,Техногенна аварія,Критичний,30
2025-08-17,Дельта,Радіоелектронна боротьба,Високий,11
2025-08-09,Омега,Повітряна загроза,Середній,29
2025-08-27,Бета,Техногенна аварія,Низький,14
2025-08-17,Гамма,Техногенна аварія,Критичний,39
2025-08-10,Гамма,Повітряна загроза,Низький,22
2025-08-17,Бета,Наземний контакт,Критичний,25
2025-08-25,Бета,Радіоелектронна боротьба,Середній,2
2025-08-18,Гамма,Повітряна загроза,Критичний,7
2025-08-22,Гамма,Техногенна аварія,Високий,7
2025-08-20,Бета,Втрата постачання,Середній,21
2025-08-19,Гамма,Техногенна аварія,Високий,36
2025-08-03,Альфа,Наземний контакт,Високий,18
2025-08-23,Омега,Техногенна аварія,Низький,21
2025-08-01,Бета,Повітряна загроза,Середній,21
2025-08-18,Гамма,Втрата постачання,Середній,3
2025-08-28,Альфа,Наземний контакт,Критичний,13
2025-08-30,Альфа,Наземний контакт,Високий,28
2025-08-18,Омега,Наземний контакт,Низький,2
2025-08-07,Гамма,Втрата постачання,Середній,26
2025-08-16,Гамма,Наземний контакт,Низький,31
2025-08-21,Гамма,Повітряна загроза,Високий,24
2025-08-01,Гамма,Втрата постачання,Високий,34
2025-08-15,Бета,Повітряна загроза,Високий,12
2025-08-15,Гамма,Втрата постачання,Високий,34
2025-08-10,Гамма,Втрата постачання,Критичний,6
2025-08-25,Дельта,Повітряна загроза,Критичний,38
2025-08-01,Гамма,Повітряна загроза,Критичний,24
2025-08-24,Гамма,Втрата постачання,Високий,4
2025-08-22,Дельта,Втрата постачання,Середній,17
2025-08-12,Альфа,Повітряна загроза,Низький,7
2025-08-13,Гамма,Наземний контакт,Високий,22
2025-08-19,Альфа,Повітряна загроза,Критичний,37
2025-08-21,Гамма,Повітряна загроза,Високий,15
2025-08-07,Дельта,Повітряна загроза,Високий,37
2025-08-11,Дельта,Повітряна загроза,Високий,2
2025-08-30,Омега,Втрата постачання,Високий,23
2025-08-13,Дельта,Повітряна загроза,Середній,35
2025-08-29,Бета,Повітряна загроза,Середній,34
2025-08-18,Гамма,Втрата постачання,Середній,17
2025-08-08,Дельта,Повітряна загроза,Критичний,40
2025-08-25,Бета,Радіоелектронна боротьба,Низький,21
2025-08-28,Альфа,Втрата постачання,Низький,32
2025-08-23,Гамма,Наземний контакт,Критичний,3
2025-08-20,Гамма,Втрата постачання,Середній,9
2025-08-18,Гамма,Наземний контакт,Критичний,11
2025-08-13,Гамма,Техногенна аварія,Критичний,33
2025-08-26,Бета,Наземний контакт,Критичний,30
2025-08-20,Гамма,Повітряна загроза,Високий,15
2025-08-04,Бета,Наземний контакт,Низький,13
2025-08-21,Бета,Радіоелектронна боротьба,Середній,36
2025-08-30,Гамма,Техногенна аварія,Критичний,13
2025-08-01,Бета,Втрата постачання,Низький,30
2025-08-27,Дельта,Повітряна загроза,Високий,10
2025-08-30,Альфа,Втрата постачання,Високий,13
2025-08-14,Омега,Повітряна загроза,Низький,25
2025-08-28,Альфа,Повітряна загроза,Низький,30
2025-08-09,Бета,Повітряна загроза,Середній,37
2025-08-08,Гамма,Повітряна загроза,Критичний,39
2025-08-21,Омега,Втрата постачання,Низький,34
2025-08-19,Дельта,Наземний контакт,Критичний,17
2025-08-11,Бета,Радіоелектронна боротьба,Високий,33
2025-08-04,Альфа,Техногенна аварія,Критичний,24
2025-08-23,Гамма,Втрата постачання,Середній,33
2025-08-27,Гамма,Радіоелектронна боротьба,Середній,36
2025-08-05,Бета,Техногенна аварія,Низький,27
2025-08-04,Бета,Повітряна загроза,Низький,40
2025-08-06,Альфа,Втрата постачання,Низький,40
2025-08-13,Бета,Наземний контакт,Низький,36
2025-08-21,Омега,Наземний контакт,Низький,8
2025-08-13,Дельта,Наземний контакт,Критичний,31
2025-08-03,Дельта,Втрата постачання,Середній,22
2025-08-28,Бета,Радіоелектронна боротьба,Середній,6
2025-08-27,Бета,Втрата постачання,Критичний,3
2025-08-14,Дельта,Радіоелектронна боротьба,Критичний,20
2025-08-18,Дельта,Повітряна загроза,Високий,28
2025-08-02,Дельта,Повітряна загроза,Критичний,26
2025-08-06,Альфа,Повітряна загроза,Середній,26
2025-08-07,Бета,Повітряна загроза,Високий,10
2025-08-16,Бета,Повітряна загроза,Високий,29
2025-08-29,Альфа,Техногенна аварія,Низький,32
2025-08-13,Дельта,Радіоелектронна боротьба,Критичний,2
2025-08-17,Альфа,Техногенна аварія,Середній,40
2025-08-07,Дельта,Наземний контакт,Низький,31
2025-08-12,Дельта,Повітряна загроза,Середній,8
2025-08-03,Гамма,Наземний контакт,Високий,20
2025-08-02,Гамма,Повітряна загроза,Високий,24
2025-08-13,Альфа,Наземний контакт,Середній,9
2025-08-26,Гамма,Повітряна загроза,Критичний,22
2025-08-01,Альфа,Радіоелектронна боротьба,Високий,13
2025-08-25,Дельта,Наземний контакт,Низький,13
2025-08-16,Омега,Повітряна загроза,Критичний,22
2025-08-21,Гамма,Втрата постачання,Низький,10
2025-08-16,Бета,Повітряна загроза,Критичний,17
2025-08-29,Дельта,Повітряна загроза,Критичний,2
2025-08-21,Бета,Повітряна загроза,Критичний,9
2025-08-16,Гамма,Повітряна загроза,Високий,14
2025-08-13,Бета,Техногенна аварія,Високий,27
2025-08-17,Бета,Втрата постачання,Критичний,18
2025-08-13,Гамма,Втрата постачання,Критичний,18
2025-08-24,Омега,Втрата постачання,Середній,21
2025-08-26,Бета,Наземний контакт,Критичний,37
2025-08-25,Альфа,Наземний контакт,Низький,15
2025-08-07,Гамма,Повітряна загроза,Середній,33
2025-08-21,Бета,Техногенна аварія,Критичний,19
2025-08-23,Альфа,Втрата постачання,Високий,20
2025-08-15,Дельта,Техногенна аварія,Високий,4
2025-08-22,Бета,Втрата постачання,Низький,20
2025-08-25,Альфа,Повітряна загроза,Низький,15
2025-08-18,Бета,Наземний контакт,Високий,11
2025-08-12,Гамма,Техногенна аварія,Низький,10
2025-08-03,Гамма,Наземний контакт,Критичний,20
2025-08-18,Бета,Наземний контакт,Середній,37
2025-08-09,Гамма,Наземний контакт,Середній,4
2025-08-24,Гамма,Втрата постачання,Низький,33
2025-08-19,Бета,Повітряна загроза,Критичний,24
2025-08-21,Дельта,Наземний контакт,Високий,38
2025-08-30,Альфа,Повітряна загроза,Середній,15
2025-08-28,Бета,Техногенна аварія,Середній,4
2025-08-22,Омега,Повітряна загроза,Середній,12
2025-08-19,Гамма,Втрата постачання,Середній,36
2025-08-21,Альфа,Техногенна аварія,Середній,21
2025-08-25,Гамма,Повітряна загроза,Низький,5
2025-08-27,Дельта,Техногенна аварія,Середній,30
2025-08-22,Бета,Втрата постачання,Середній,14
