date,zone,category,priority,units_engaged
2025-08-09,Альфа,Повітряна загроза,Високий,31
2025-08-18,Альфа,Повітряна загроза,Критичний,39
2025-08-09,Дельта,Наземний контакт,Високий,30
2025-08-30,Гамма,Повітряна загроза,Низький,21
2025-08-09,Дельта,Повітряна загроза,Середній,30
2025-08-26,Гамма,Повітряна загроза,Середній,18
2025-08-12,Бета,Радіоелектронна боротьба,Критичний,14
2025-08-15,Бета,Повітряна загроза,Середній,17
2025-08-13,Альфа,Втрата постачання,Середній,12
2025-08-12,Гамма,Наземний контакт,Середній,22
2025-08-05,Дельта,Повітряна загроза,Критичний,9
2025-08-24,Дельта,Втрата постачання,Критичний,2
2025-08-04,Бета,Повітряна загроза,Високий,6
2025-08-28,Гамма,Втрата постачання,Критичний,19
2025-08-08,Гамма,Техногенна аварія,Високий,30
2025-08-02,Бета,Радіоелектронна боротьба,Критичний,11
2025-08-07,Гамма,Повітряна загроза,Низький,9
2025-08-16,Бета,Повітряна загроза,Критичний,33
2025-08-13,Гамма,Повітряна загроза,Високий,6
2025-08-16,Гамма,Техногенна аварія,Низький,13
2025-08-05,Бета,Техногенна аварія,Високий,33
2025-08-24,Дельта,Втрата постачання,Критичний,40
2025-08-24,Омега,Наземний контакт,Високий,5
2025-08-05,Альфа,Повітряна загроза,Середній,15
2025-08-14,Гамма,Втрата постачання,Високий,15
2025-08-16,Бета,Радіоелектронна боротьба,Низький,14
2025-08-04,Альфа,Радіоелектронна боротьба,Середній,17
2025-08-16,Бета,Радіоелектронна боротьба,Середній,13
2025-08-14,Бета,Наземний контакт,Критичний,31
2025-08-04,Бета,Техногенна аварія,Середній,37
2025-08-07,Гамма,Повітряна загроза,Критичний,11
2025-08-24,Дельта,Повітряна загроза,Критичний,2
2025-08-24,Дельта,Наземний контакт,Високий,5
2025-08-30,Бета,Радіоелектронна боротьба,Середній,26
2025-08-16,Гамма,Повітряна загроза,Низький,40
2025-08-18,Гамма,Техногенна аварія,Низький,39
2025-08-26,Дельта,Радіоелектронна боротьба,Низький,7
2025-08-08,Бета,Наземний контакт,Критичний,25
2025-08-04,Омега,Повітряна загроза,Середній,3
2025-08-20,Гамма,Втрата постачання,Низький,35
2025-08-30,Дельта,Радіоелектронна боротьба,Критичний,6
2025-08-29,Бета,Втрата постачання,Критичний,24
2025-08-23,Дельта,Втрата постачання,Середній,14
2025-08-25,Бета,Наземний контакт,Високий,6
2025-08-19,Дельта,Техногенна аварія,Низький,33
2025-08-12,Гамма,Повітряна загроза,Середній,26
2025-08-11,Альфа,Повітряна загроза,Критичний,23
2025-08-04,Омега,Повітряна загроза,Низький,30
2025-08-20,Бета,Техногенна аварія,Середній,34
2025-08-22,Гамма,Наземний контакт,Середній,9
2025-08-16,Гамма,Наземний контакт,Критичний,20
2025-08-12,Гамма,Втрата постачання,Низький,4
2025-08-29,Бета,Наземний контакт,Середній,6
2025-08-02,Альфа,Повітряна загроза,Середній,37
2025-08-21,Бета,Втрата постачання,Високий,38
2025-08-06,Омега,Наземний контакт,Високий,13
2025-08-28,Гамма,Наземний контакт,Низький,6
2025-08-02,Бета,Повітряна загроза,Низький,29
2025-08-15,Альфа,Техногенна аварія,Низький,11
2025-08-02,Дельта,Наземний контакт,Високий,23
2025-08-28,Гамма,Втрата постачання,Середній,38
2025-08-01,Гамма,Повітряна загроза,Середній,22
2025-08-10,Дельта,Повітряна загроза,Середній,34
2025-08-14,Дельта,Втрата постачання,Високий,9
2025-08-06,Альфа,Наземний контакт,Високий,14
2025-08-03,Бета,Повітряна загроза,Критичний,23
2025-08-29,Бета,Радіоелектронна боротьба,Критичний,14
2025-08-12,Дельта,Повітряна загроза,Високий,14
2025-08-05,Бета,Радіоелектронна боротьба,Низький,32
2025-08-06,Бета,Повітряна загроза,Низький,31
2025-08-12,Гамма,Втрата постачання,Низький,15
2025-08-29,Гамма,Наземний контакт,Критичний,31
2025-08-30,Альфа,Радіоелектронна боротьба,Критичний,14
2025-08-09,Дельта,Втрата постачання,Високий,24
2025-08-17,Гамма,Повітряна загроза,Високий,9
2025-08-23,Бета,Повітряна загроза,Високий,26
2025-08-23,Бета,Наземний контакт,Критичний,11
2025-08-14,Гамма,Техногенна аварія,Високий,24
